Sample #, Type,Sub,Chan,Num	,Aux
23,    +,0,0,  0	,(N
88,    N,0,0,0,
442,    N,0,0,0,
789,    N,0,0,0,
1155,    N,0,0,0,
1493,    N,0,0,0,
1821,    N,0,0,0,
2157,    N,0,0,0,
2517,    N,0,0,0,
2889,    N,0,0,0,
3238,    N,0,0,0,
3593,    N,0,0,0,
3924,    N,0,0,0,
4105,    V,1,0,0,
4197,    x,0,0,0,
4602,    N,0,0,0,
4971,    N,0,0,0,
5350,    N,0,0,0,
5715,    N,0,0,0,
6115,    N,0,0,0,
6479,    N,0,0,0,
6886,    N,0,0,0,
7287,    N,0,0,0,
7687,    N,0,0,0,
8056,    N,0,0,0,
8432,    N,0,0,0,
8804,    N,0,0,0,
9196,    N,0,0,0,
9586,    N,0,0,0,
9924,    ~,3,0,0,
9963,    N,0,0,0,
10325,    N,0,0,0,
10519,    ~,0,0,0,
10696,    N,0,0,0,
10876,    V,2,0,0,
11000,    x,0,0,0,
11453,    N,0,0,0,
11819,    N,0,0,0,
12174,    N,0,0,0,
12509,    N,0,0,0,
12856,    N,0,0,0,
13236,    N,0,0,0,
13644,    N,0,0,0,
14073,    N,0,0,0,
14467,    N,0,0,0,
14847,    N,0,0,0,
15222,    N,0,0,0,
15620,    N,0,0,0,
16018,    N,0,0,0,
16403,    N,0,0,0,
16788,    N,0,0,0,
17161,    N,0,0,0,
17534,    N,0,0,0,
17932,    N,0,0,0,
18327,    N,0,0,0,
18685,    N,0,0,0,
19045,    N,0,0,0,
19416,    N,0,0,0,
19802,    N,0,0,0,
20193,    N,0,0,0,
20586,    N,0,0,0,
20942,    N,0,0,0,
21308,    N,0,0,0,
21676,    N,0,0,0,
22054,    N,0,0,0,
22427,    N,0,0,0,
22794,    N,0,0,0,
23189,    N,0,0,0,
23610,    N,0,0,0,
24037,    N,0,0,0,
24454,    N,0,0,0,
24850,    N,0,0,0,
25232,    N,0,0,0,
25617,    N,0,0,0,
25991,    N,0,0,0,
26386,    N,0,0,0,
26787,    N,0,0,0,
27181,    N,0,0,0,
27545,    N,0,0,0,
27926,    N,0,0,0,
28313,    N,0,0,0,
28717,    N,0,0,0,
29100,    N,0,0,0,
29455,    N,0,0,0,
29796,    N,0,0,0,
30150,    N,0,0,0,
30545,    N,0,0,0,
30976,    N,0,0,0,
31420,    N,0,0,0,
31855,    N,0,0,0,
32262,    N,0,0,0,
32698,    N,0,0,0,
33121,    N,0,0,0,
33513,    N,0,0,0,
33889,    N,0,0,0,
34259,    N,0,0,0,
34625,    N,0,0,0,
35018,    N,0,0,0,
35414,    N,0,0,0,
35764,    N,0,0,0,
36115,    N,0,0,0,
36473,    N,0,0,0,
36849,    N,0,0,0,
37297,    N,0,0,0,
37781,    N,0,0,0,
38198,    N,0,0,0,
38590,    N,0,0,0,
38991,    N,0,0,0,
39388,    N,0,0,0,
39780,    N,0,0,0,
40170,    N,0,0,0,
40538,    N,0,0,0,
40915,    N,0,0,0,
41308,    N,0,0,0,
41701,    N,0,0,0,
42092,    N,0,0,0,
42468,    N,0,0,0,
42839,    N,0,0,0,
43221,    N,0,0,0,
43618,    N,0,0,0,
44008,    N,0,0,0,
44391,    N,0,0,0,
44777,    N,0,0,0,
45147,    N,0,0,0,
45518,    N,0,0,0,
45906,    N,0,0,0,
46305,    N,0,0,0,
46506,    ~,3,0,0,
46660,    N,0,0,0,
47006,    N,0,0,0,
47352,    N,0,0,0,
47727,    N,0,0,0,
48194,    N,0,0,0,
48638,    N,0,0,0,
49009,    N,0,0,0,
49153,    ~,1,0,0,
49393,    N,0,0,0,
49480,    ~,0,0,0,
49781,    N,0,0,0,
50177,    N,0,0,0,
50545,    N,0,0,0,
50914,    N,0,0,0,
51267,    N,0,0,0,
51623,    N,0,0,0,
52009,    N,0,0,0,
52396,    N,0,0,0,
52775,    N,0,0,0,
53149,    N,0,0,0,
53501,    N,0,0,0,
53865,    N,0,0,0,
54260,    N,0,0,0,
54662,    N,0,0,0,
55039,    N,0,0,0,
55411,    N,0,0,0,
55782,    N,0,0,0,
56173,    N,0,0,0,
56565,    N,0,0,0,
56968,    N,0,0,0,
57329,    N,0,0,0,
57712,    N,0,0,0,
58080,    N,0,0,0,
58484,    N,0,0,0,
58867,    N,0,0,0,
59289,    N,0,0,0,
59649,    N,0,0,0,
60002,    N,0,0,0,
60370,    N,0,0,0,
60787,    N,0,0,0,
61180,    N,0,0,0,
61581,    N,0,0,0,
61953,    N,0,0,0,
62322,    N,0,0,0,
62698,    N,0,0,0,
63108,    N,0,0,0,
63491,    N,0,0,0,
63872,    N,0,0,0,
64247,    N,0,0,0,
64615,    N,0,0,0,
64995,    N,0,0,0,
65393,    N,0,0,0,
65792,    N,0,0,0,
66159,    N,0,0,0,
66541,    N,0,0,0,
66912,    N,0,0,0,
67296,    N,0,0,0,
67685,    N,0,0,0,
68075,    N,0,0,0,
68451,    N,0,0,0,
68799,    N,0,0,0,
69173,    N,0,0,0,
69528,    N,0,0,0,
69921,    N,0,0,0,
70276,    N,0,0,0,
70727,    N,0,0,0,
71158,    N,0,0,0,
71628,    N,0,0,0,
72057,    N,0,0,0,
72458,    N,0,0,0,
72839,    N,0,0,0,
73220,    N,0,0,0,
73604,    N,0,0,0,
74004,    N,0,0,0,
74393,    N,0,0,0,
74779,    N,0,0,0,
75132,    N,0,0,0,
75511,    N,0,0,0,
75893,    N,0,0,0,
76309,    N,0,0,0,
76703,    N,0,0,0,
77062,    N,0,0,0,
77435,    N,0,0,0,
77829,    N,0,0,0,
78197,    N,0,0,0,
78330,    ~,2,0,0,
78592,    N,0,0,0,
78977,    N,0,0,0,
79338,    N,0,0,0,
79724,    N,0,0,0,
80112,    N,0,0,0,
80492,    N,0,0,0,
80860,    N,0,0,0,
81217,    N,0,0,0,
81557,    N,0,0,0,
81901,    N,0,0,0,
82281,    N,0,0,0,
82675,    N,0,0,0,
83134,    N,0,0,0,
83545,    N,0,0,0,
83824,    V,0,0,0,
84360,    N,0,0,0,
84809,    N,0,0,0,
85225,    N,0,0,0,
85583,    N,0,0,0,
85966,    N,0,0,0,
86317,    N,0,0,0,
86710,    N,0,0,0,
87078,    N,0,0,0,
87466,    N,0,0,0,
87837,    N,0,0,0,
88216,    N,0,0,0,
88598,    N,0,0,0,
88987,    N,0,0,0,
89411,    N,0,0,0,
89517,    ~,0,0,0,
89812,    N,0,0,0,
90197,    N,0,0,0,
90563,    N,0,0,0,
90960,    N,0,0,0,
91358,    N,0,0,0,
91751,    N,0,0,0,
92122,    N,0,0,0,
92493,    N,0,0,0,
92866,    N,0,0,0,
93264,    N,0,0,0,
93626,    N,0,0,0,
94006,    N,0,0,0,
94366,    N,0,0,0,
94731,    N,0,0,0,
95073,    N,0,0,0,
95449,    N,0,0,0,
95873,    N,0,0,0,
96330,    N,0,0,0,
96765,    N,0,0,0,
97144,    N,0,0,0,
97198,    |,2,0,0,
97562,    N,0,0,0,
97981,    N,0,0,0,
98352,    N,0,0,0,
98705,    N,0,0,0,
99067,    N,0,0,0,
99443,    N,0,0,0,
99837,    N,0,0,0,
100213,    N,0,0,0,
100582,    N,0,0,0,
100944,    N,0,0,0,
101307,    N,0,0,0,
101669,    N,0,0,0,
102038,    N,0,0,0,
102402,    N,0,0,0,
102775,    N,0,0,0,
103219,    N,0,0,0,
103622,    N,0,0,0,
104043,    N,0,0,0,
104459,    N,0,0,0,
104843,    N,0,0,0,
105227,    N,0,0,0,
105602,    N,0,0,0,
105983,    N,0,0,0,
106382,    N,0,0,0,
106797,    N,0,0,0,
107176,    N,0,0,0,
107330,    V,3,0,0,
107593,    N,0,0,0,
107948,    N,0,0,0,
108340,    N,0,0,0,
108737,    N,0,0,0,
109143,    N,0,0,0,
109534,    N,0,0,0,
109890,    N,0,0,0,
110301,    N,0,0,0,
110713,    N,0,0,0,
111101,    N,0,0,0,
111501,    N,0,0,0,
111863,    N,0,0,0,
112247,    N,0,0,0,
112653,    N,0,0,0,
113049,    N,0,0,0,
113436,    N,0,0,0,
113820,    N,0,0,0,
114200,    N,0,0,0,
114572,    N,0,0,0,
114991,    N,0,0,0,
115379,    N,0,0,0,
115770,    N,0,0,0,
116143,    N,0,0,0,
116524,    N,0,0,0,
116894,    N,0,0,0,
117314,    N,0,0,0,
117581,    |,2,0,0,
117713,    N,0,0,0,
118096,    N,0,0,0,
118478,    N,0,0,0,
118872,    N,0,0,0,
119262,    N,0,0,0,
119678,    N,0,0,0,
120058,    N,0,0,0,
120427,    N,0,0,0,
120815,    N,0,0,0,
121217,    N,0,0,0,
121398,    |,2,0,0,
121617,    N,0,0,0,
122010,    N,0,0,0,
122401,    N,0,0,0,
122743,    N,0,0,0,
123110,    N,0,0,0,
123491,    N,0,0,0,
123889,    N,0,0,0,
124265,    N,0,0,0,
124640,    N,0,0,0,
124999,    N,0,0,0,
125381,    N,0,0,0,
125766,    N,0,0,0,
126170,    N,0,0,0,
126542,    N,0,0,0,
126926,    N,0,0,0,
127308,    N,0,0,0,
127684,    N,0,0,0,
128085,    N,0,0,0,
128499,    N,0,0,0,
128859,    N,0,0,0,
129253,    N,0,0,0,
129627,    N,0,0,0,
130018,    N,0,0,0,
130421,    N,0,0,0,
130809,    N,0,0,0,
131189,    N,0,0,0,
131556,    N,0,0,0,
131950,    N,0,0,0,
132342,    N,0,0,0,
132736,    N,0,0,0,
133099,    N,0,0,0,
133456,    N,0,0,0,
133796,    N,0,0,0,
134161,    N,0,0,0,
134542,    N,0,0,0,
134927,    N,0,0,0,
135408,    N,0,0,0,
135847,    N,0,0,0,
136258,    N,0,0,0,
136659,    N,0,0,0,
137075,    N,0,0,0,
137448,    N,0,0,0,
137830,    N,0,0,0,
138216,    N,0,0,0,
138599,    N,0,0,0,
139014,    N,0,0,0,
139400,    N,0,0,0,
139773,    N,0,0,0,
140149,    N,0,0,0,
140538,    N,0,0,0,
140940,    N,0,0,0,
141329,    N,0,0,0,
141718,    N,0,0,0,
142094,    N,0,0,0,
142469,    N,0,0,0,
142884,    N,0,0,0,
143288,    N,0,0,0,
143692,    N,0,0,0,
144080,    N,0,0,0,
144465,    N,0,0,0,
144847,    N,0,0,0,
145268,    N,0,0,0,
145670,    N,0,0,0,
146060,    N,0,0,0,
146459,    N,0,0,0,
146841,    N,0,0,0,
147252,    N,0,0,0,
147663,    N,0,0,0,
148070,    N,0,0,0,
148451,    N,0,0,0,
148842,    N,0,0,0,
149237,    N,0,0,0,
149641,    N,0,0,0,
150057,    N,0,0,0,
150445,    N,0,0,0,
150825,    N,0,0,0,
151220,    N,0,0,0,
151612,    N,0,0,0,
152019,    N,0,0,0,
152405,    N,0,0,0,
152788,    N,0,0,0,
153143,    N,0,0,0,
153537,    N,0,0,0,
153921,    N,0,0,0,
154306,    N,0,0,0,
154673,    N,0,0,0,
155043,    N,0,0,0,
155415,    N,0,0,0,
155798,    N,0,0,0,
156213,    N,0,0,0,
156583,    N,0,0,0,
156945,    N,0,0,0,
157319,    N,0,0,0,
157701,    N,0,0,0,
158079,    N,0,0,0,
158473,    N,0,0,0,
158842,    N,0,0,0,
159200,    N,0,0,0,
159558,    N,0,0,0,
159958,    N,0,0,0,
160448,    N,0,0,0,
160892,    N,0,0,0,
161290,    N,0,0,0,
161684,    N,0,0,0,
162001,    ~,2,0,0,
162064,    N,0,0,0,
162463,    N,0,0,0,
162838,    N,0,0,0,
163040,    ~,0,0,0,
163229,    N,0,0,0,
163582,    N,0,0,0,
163942,    N,0,0,0,
164329,    N,0,0,0,
164722,    N,0,0,0,
